root,subpath_2,subpath_3,subpath_4,file,index,code,comments,docstring,none,total
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,cfg,,,validation_cfg.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/cfg/validation_cfg.py,77,0,0,4,81
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,,anno_config.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/anno_config.py,745,432,0,5,1182
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,,descHGVS.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/descHGVS.py,1571,247,37,198,2053
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,,run_descHGVS.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/run_descHGVS.py,28,7,0,5,40
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,code.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/code.py,52,8,0,3,63
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,connector.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/connector.py,241,30,63,58,392
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,ngs.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/ngs.py,398,54,0,69,521
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,base.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/base.py,149,21,8,47,225
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,interpretation_HGVS,utils,spider.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/interpretation_HGVS/utils/spider.py,84,8,8,21,121
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/show.py,276,8,9,54,347
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,plot.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/plot.py,72,0,0,14,86
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,add.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/add.py,220,2,0,20,242
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,compare_update.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/compare_update.py,204,5,3,32,244
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,utils.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/utils.py,126,0,0,29,155
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,rules,variant,,complete.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/rules/variant/complete.py,160,10,6,36,212
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,scheduled,,,release_cache.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/scheduled/release_cache.py,64,0,3,13,80
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,scheduled,,,utils.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/scheduled/utils.py,10,0,3,3,16
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,scheduled,,,send_email.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/scheduled/send_email.py,30,0,0,5,35
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,error.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/error.py,19,0,0,4,23
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/__init__.py,11,0,0,4,15
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,docs.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/docs.py,10,0,0,6,16
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,context.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/context.py,30,0,0,7,37
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,utils.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/utils.py,10,0,0,3,13
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,lock.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/lock.py,11,0,0,4,15
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,routes,,,sample.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/routes/sample.py,52,0,0,14,66
